Unnamed: 0.1,Unnamed: 0,Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,Goals_per_90,Assists_per_90,xG_Efficiency
-0.94,-0.94,Çağlar Söyüncü,Leicester City,TUR,DF,-0.38,0.1,0.14,0.26,-0.36,-0.71,0.84,1.3,-0.25,-0.27,-0.73,-0.9,-0.22,-0.33,-0.44,-0.77,0.87
-0.93,-0.93,Marc Albrighton,Leicester City,ENG,"DF,FW",1.12,0.88,-0.04,0.19,-0.36,1.53,0.16,-1.4,-0.25,-0.27,-0.46,1.74,-0.22,-0.33,-0.44,1.64,-0.11
-0.93,-0.93,Kelechi Iheanacho,Leicester City,NGA,FW,-0.63,0.3,-0.13,-0.11,2.71,0.18,-0.51,0.07,-0.25,0.66,2.22,1.14,-0.65,-0.33,3.75,0.34,0.44
-0.92,-0.92,Nampalys Mendy,Leicester City,SEN,MF,0.62,0.1,-0.23,-0.11,-0.64,-0.26,0.23,1.62,-0.25,-0.27,-0.86,-0.78,1.07,-0.33,-0.74,-0.22,-0.84
-0.91,-0.91,Ayoze Pérez,Leicester City,ESP,"MF,FW",0.37,0.3,-0.23,-0.25,-0.08,-0.26,-0.51,-0.36,-0.25,-0.27,0.52,-0.06,-0.22,-0.33,0.11,-0.12,-0.37
-0.9,-0.91,Luke Thomas,Leicester City,ENG,DF,-1.63,-0.77,-0.5,-0.63,-0.36,-0.71,-0.54,-0.68,-0.25,-0.27,-0.73,-0.78,-0.22,-0.33,-0.19,-0.77,0.87
-0.89,-0.9,Ricardo Pereira,Leicester City,POR,DF,0.12,-0.67,-0.68,-0.64,-0.64,-0.26,-0.47,-0.13,-0.25,-0.27,-0.66,-0.42,0.21,-0.33,-0.74,0.06,-0.84
-0.89,-0.89,Dennis Praet,Leicester City,BEL,"MF,FW",0.12,-0.67,-0.68,-0.89,-0.36,-0.26,-0.81,-0.01,-0.25,-0.27,-0.46,0.18,-1.08,-0.33,0.05,0.43,-0.11
-0.88,-0.89,Daniel Amartey,Leicester City,GHA,DF,-0.13,-0.96,-0.86,-0.89,-0.36,-0.71,-0.56,0.87,-0.25,-0.27,-0.59,-1.02,0.21,-0.33,-0.01,-0.77,0.19
-0.87,-0.88,Christian Fuchs,Leicester City,AUT,DF,2.13,-1.25,-0.86,-0.91,-0.64,-0.71,-0.37,0.26,-0.25,-0.27,-0.86,-1.02,0.64,-0.33,-0.74,-0.77,-0.84
